Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.16     14.55    14.55 18326626     0.00     0.00  core::PointCluster::recomputeBoundingBox(unsigned long)
 18.85     21.93     7.38 18048275     0.00     0.00  core::PointCluster::removePoint(core::DataPoint const&)
 18.74     29.27     7.34  1418068     0.01     0.01  core::PointCluster::computeBoundingBox()
  8.58     32.63     3.36 17867006     0.00     0.00  core::PointCluster::addPoint(core::DataPoint const&)
  7.23     35.46     2.83 13863950     0.00     0.00  core::PointCluster::getAndSetScore(double, double, double, double, double, double, double, double)
  2.91     36.60     1.14                             core::ClusteredTriangulationAlgorithm2::getCandidates(int, std::vector<int, std::allocator<int> >&, std::vector<core::DataPoint, std::allocator<core::DataPoint> > const&)
  1.25     37.09     0.49 13268321     0.00     0.00  core::ClusteredTriangulationAlgorithm2::checkCluster(core::PointCluster&, core::PointCluster&, double&)
  1.05     37.50     0.41                             _init
  0.94     37.87     0.37 17364857     0.00     0.00  void spdlog::logger::log_<int const&, double&, double&, double&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v10::basic_string_view<char>, int const&, double&, double&, double&)
  0.87     38.21     0.34 16686365     0.00     0.00  void spdlog::logger::log_<double, double, int const&, double&, double&, double&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v10::basic_string_view<char>, double&&, double&&, int const&, double&, double&, double&)
  0.54     38.42     0.21 16368937     0.00     0.00  core::PointCluster::geometricRatio() const
  0.51     38.62     0.20 17904685     0.00     0.00  core::PointCluster::area() const
  0.46     38.80     0.18 36455942     0.00     0.00  spdlog::details::backtracer::enabled() const
  0.43     38.97     0.17 33671939     0.00     0.00  spdlog::details::registry::instance()
  0.43     39.14     0.17 28076960     0.00     0.00  spdlog::default_logger_raw()
  0.05     39.16     0.02  1750001     0.00     0.00  core::ClusteredTriangulationBase::getCost(double, double, double, double) const
